customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,0,Yes,Yes,14,No,DSL,Month-to-month,Electronic check,22.5,315.0,No
CUST00002,Female,0,Yes,No,11,Yes,DSL,Month-to-month,Credit card,41.86,460.46,No
CUST00003,Female,1,Yes,Yes,43,No,No,Month-to-month,Bank transfer,47.79,2054.97,No
CUST00004,Female,1,Yes,No,5,Yes,No,Month-to-month,Electronic check,92.97,464.85,No
CUST00005,Female,0,Yes,Yes,5,No,DSL,One year,Bank transfer,86.13,430.65,No
CUST00006,Female,0,Yes,Yes,45,No,No,Month-to-month,Mailed check,40.95,1842.75,No
CUST00007,Male,0,Yes,No,41,Yes,No,One year,Bank transfer,104.29,4275.89,No
CUST00008,Female,1,Yes,No,27,No,No,Month-to-month,Credit card,85.54,2309.58,No
CUST00009,Male,1,Yes,Yes,46,Yes,No,Two year,Credit card,41.93,1928.78,No
CUST00010,Male,1,No,Yes,8,No,No,Month-to-month,Bank transfer,58.48,467.84,No
CUST00011,Male,0,No,Yes,14,No,No,Month-to-month,Mailed check,49.35,690.9,No
CUST00012,Female,0,No,No,19,No,DSL,Month-to-month,Electronic check,57.39,1090.41,Yes
CUST00013,Male,0,No,Yes,30,Yes,No,Two year,Credit card,107.8,3234.0,No
CUST00014,Female,1,Yes,Yes,70,No,Fiber optic,Month-to-month,Credit card,36.51,2555.7,No
CUST00015,Male,0,Yes,Yes,15,Yes,DSL,Month-to-month,Electronic check,44.79,671.85,Yes
CUST00016,Female,1,Yes,Yes,42,Yes,Fiber optic,Month-to-month,Credit card,27.09,1137.78,No
CUST00017,Male,1,No,No,24,Yes,DSL,One year,Credit card,29.43,706.32,No
CUST00018,Male,0,Yes,No,43,No,Fiber optic,Month-to-month,Mailed check,100.06,4302.58,No
CUST00019,Male,0,Yes,Yes,9,Yes,Fiber optic,Two year,Credit card,64.31,578.79,No
CUST00020,Female,0,Yes,No,61,No,Fiber optic,Month-to-month,Bank transfer,41.37,2523.57,Yes
CUST00021,Male,1,Yes,Yes,54,Yes,No,One year,Bank transfer,89.66,4841.64,No
CUST00022,Male,0,Yes,Yes,7,Yes,No,Month-to-month,Mailed check,25.01,175.07,No
CUST00023,Female,0,Yes,Yes,51,No,DSL,Two year,Bank transfer,31.99,1631.49,No
CUST00024,Male,1,No,No,30,Yes,Fiber optic,Month-to-month,Electronic check,46.56,1396.8,No
CUST00025,Male,0,No,Yes,9,No,No,Month-to-month,Bank transfer,73.76,663.84,No
CUST00026,Male,1,Yes,Yes,67,Yes,Fiber optic,Two year,Bank transfer,20.78,1392.26,No
CUST00027,Male,1,No,No,26,Yes,No,Month-to-month,Credit card,91.76,2385.76,No
